"uf","nome_uf","nome_municipio","codigo_municipio_completo","unidade_pf","unidade_crim","sigla_crim","unid_endereco","unid_CEP","Ycoord","Xcoord","icon"
"11","Rondonia","Porto Velho","1100205","Superintendência Regional em Rondônia","Setor Técnico-Científico","SETEC/SR/PF/RO","Av. Lauro Sodré, 2905 - Bairro Costa e Silva","78903-711","-8.738721","-63.901947","large_blue"
"11","Rondônia","Vilhena","1100304","Delegacia de Vilhena","Unidade Técnico-Científica","UTEC/PF/VLA/RO","Av. 15 de Novembro, 3485","76980-000","-12.746067","-60.144223","large_green"
"12","Acre","Rio Branco","1200401","Superintendência Regional no Acre","Setor Técnico-Científico","SETEC/SR/PF/AC","Rua Floriano Peixoto, 874 - Centro","69.908-030","-9.971661","-67.852110","large_blue"
"13","Amazonas","Manaus","1302603","Superintendência Regional no Amazonas","Setor Técnico-Científico","SETEC/SR/PF/AM","Av. Domingos Jorge Velho nº 40, Bairro D. Pedro II","69.042-470","-3.084035","-60.050439","large_blue"
"14","Roraima","Boa Vista","1400100","Superintendência Regional em Roraima","Setor Técnico-Científico","SETEC/SR/PF/RR","Avenida Brasil, nº. 551, bairro 13 de Setembro","69308-050","2.802486","-60.693693","large_blue"
"15","Pará","Belém","1501402","Superintendência Regional no Pará","Setor Técnico-Científico","SETEC/SR/PF/PA","Av. Almirante Barroso, 4466","66610-000","-1.414328","-48.443834","large_blue"
"15","Pará","Santarém","1506807","Delegacia de Santarém","Unidade Técnico-Científica","UTEC/PF/SNM/PA","Av. Cuiabá,1040, Bairro: Caranazal","68040-400","-2.430892","-54.739873","large_green"
"16","Amapá","Macapá","1600303","Superintendência Regional no Amapá","Setor Técnico-Científico","SETEC/SR/PF/AP","Entroncamento das rodovias Norte-Sul e BR-210 - Bairro Infraero","68908-910","0.077680","-51.069180","large_blue"
"17","Tocantins","Palmas","1721000","Superintendência Regional no Tocantins","Setor Técnico-Científico","SETEC/SR/PF/TO","Av. Teotonio Segurado, Qd. 302 Norte, QI 01 Lote 02 - Plano Diretor Norte","77.006-332","-10.171649","-48.333133","large_blue"
"21","Maranhão","São Luís","2111300","Superintendência Regional no Maranhão","Setor Técnico-Científico","SETEC/SR/PF/MA","Av. Daniel de La Touche, nº 4000, Bairro Cohama","65074-115","-2.508214","-44.242499","large_blue"
"21","Maranhão","Imperatriz","2105302","Delegacia de Imperatriz","Unidade Técnico-Científica","UTEC/PF/ITZ/MA","Avenida Imperatriz, s/n, quadra 10, lote 10-a - Parque Planalto","65917-301","-5.489592","-47.478822","large_green"
"22","Piauí","Teresina","2211001","Superintendência Regional no Piauí","Setor Técnico-Científico","SETEC/SR/PF/PI","Av. João XXIII, 4500, bairro Recanto das Palmeiras","64.045-795","-5.080744","-42.759110","large_blue"
"23","Ceará","Fortaleza","2304400","Superintendência Regional no Ceará","Setor Técnico-Científico","SETEC/SR/PF/CE","Av. Borges de Melo, 820 - Bairro de Fátima","60415-510","-3.760534","-38.562682","large_blue"
"23","Ceará","Juazeiro do Norte","2307304","Delegacia de Juazeiro do Norte","Unidade Técnico-Científica","UTEC/PF/JNE/CE","Rua Interventor Erivano Cruz, 50 - Praça da Matriz","63010-905","-7.193455","-39.316069","large_green"
"24","Rio Grande do Norte","Natal","2408102","Superintendência Regional no Rio Grande do Norte","Setor Técnico-Científico","SETEC/SR/PF/RN","Rua Dr. Lauro Pinto,155 - Lagoa Nova","59064-250","-5.825939","-35.224140","large_blue"
"25","Paraíba","João Pessoa","2507507","Superintendência Regional na Paraíba","Setor Técnico-Científico","SETEC/SR/PF/PB","BR 230, Km 07, Rua Annita Luiza Mello Di Lascio, Ponta de Campina, Cabedelo","58.310-000","-7.031639","-34.838655","large_blue"
"26","Pernambuco","Recife","2611606","Superintendência Regional em Pernambuco","Setor Técnico-Científico","SETEC/SR/PF/PE","Av. Martin Luther King (Cais do Apolo), 321 - Bairro do Recife","50030-230","-8.060084","-34.872735","large_blue"
"27","Alagoas","Maceió","2704302","Superintendência Regional em Alagoas","Setor Técnico-Científico","SETEC/SR/PF/AL","Av. Walter Ananias nº705 - Bairro Jaraguá","57025-080","-9.667918","-35.720943","large_blue"
"28","Sergipe","Aracaju","2800308","Superintendência Regional em Sergipe","Setor Técnico-Científico","SETEC/SR/PF/SE","Avenida Augusto Franco 2260, Bairro Siqueira Campos","49075-100","-10.924911","-37.072087","large_blue"
"29","Bahia","Salvador","2927408","Superintendência Regional na Bahia","Setor Técnico-Científico","SETEC/SR/PF/BA","Av. Oscar Pontes, 339 Bairro Água de Meninos","40460-130","-12.959926","-38.505147","large_blue"
